,CPEB1,SIAH2,NOS2,CS,NDRG1,PDSS2,PIR,PARP3,DHODH,GSTZ1,ALOX15,MAP1LC3A,MPC1,DPEP1,GRIA3,CHAC1,FLT3,MTF1,CHMP6,CISD1,BRD4,IL6,HCAR1,PARP12,NR1D1,TSC1,IFNG,GJA1,SLC7A11
TCGA-BH-A0DX,0.663025756497975,6.57523214511476,1.04369446122598,7.10933966274303,5.31742346785601,4.65679952203618,3.90126274023472,4.63445967938683,2.94031712128222,3.94931080764125,0.771885578515366,5.69860744216793,7.06882341187287,1.03920859633713,1.15211850443194,1.58837284500046,1.04523326147366,3.58283295460921,4.48223520099179,4.70515958970221,5.04204016991423,2.63842143266268,3.24054331037393,3.96828432752999,3.61040478489906,3.16563864491042,0.266516712754505,7.85682886658069,1.14841353439182
TCGA-EW-A423,0.20326381272108,5.90679922202907,0.289244285156642,5.51233751839476,5.03504759631182,3.90502350237492,2.79433268153519,4.50418815469608,2.75958197323355,3.71364083303955,0.804879608254672,6.67986711211461,6.89622824755964,0.422878838957307,0.185105362542592,1.53828982985849,0.279174108489047,3.16913932024298,4.99031503300098,3.55311470811523,4.94106874027387,0.280362489973778,3.90672708090454,4.50935381046972,5.27250848619555,2.69267268533148,0.731009412420729,4.67986289071893,2.38661783861029
TCGA-A2-A0T5,0.357045212966807,8.06581569846153,0.648005179810493,6.8646269351932,4.20190042149576,4.31291199036407,2.90750601421266,4.97113885284709,2.27435112794282,3.55347109752358,0.266036893995317,6.12498150141393,5.36065924732021,1.71285986520722,0.439144375901279,0.278341658621642,1.22298998550935,3.83626753218741,4.33374572793273,4.74396728769693,5.05892687065792,0.380064458843981,4.59811504661657,3.99226086082494,5.16008520298777,3.17095055331837,0.0724488500696924,8.53123601392807,0.944408704532772
TCGA-A1-A0SE,0.360645202460216,7.74275741892374,0.558855369686171,6.84321130311197,4.94889514968692,3.79353178234374,2.77065992900966,5.78234303404953,2.520573110708,3.91407652686462,0.723951672341124,5.68569631574283,5.06123616574775,0.993275822202105,0.944033813009501,1.28989346990302,4.21753318508442,4.20266846698256,4.75291447039524,4.59991879143276,5.1905674543362,0.766383141001298,3.90084749143247,3.81573936216664,5.41526853740588,3.32718434495514,0.0732718364245194,9.17948741320755,1.49784225886096
TCGA-D8-A1Y2,0.594166328050996,6.32307458177669,0.77955390349489,6.34961120273081,6.26647735862973,4.39307292232947,2.67185946824748,4.64802244233135,2.79100134977338,3.23754842248764,0.28463257625083,5.76218667610315,5.81772045709438,2.49646234958226,0.313942357292346,1.37016428054021,2.34312351940185,3.774871379039,4.16616910955798,5.14515570841869,4.97478167026891,1.98258294692259,4.94373382963453,5.26006706884684,4.47614834874565,3.07076712712103,0.858776745308193,6.92313610390889,0.985864701242533
TCGA-D8-A13Y,0.687598238507282,6.43066664008746,1.13040376165804,7.87480065376471,7.54159692107141,4.78717645955847,4.10228859287717,4.85430490549544,2.12604775520594,3.08244713204036,1.18237448827581,6.13671843488798,7.33519291975826,1.37695711447773,1.05873209815973,3.05356319425737,0.250355271763048,4.48099533390989,3.4346015417013,6.86386041793288,4.73930266952103,0.272381578093046,3.0922920213962,4.45033368648312,5.63417794016829,2.84663371740897,0.0,5.51836203036998,1.2656169216352
TCGA-AO-A0JD,0.550900664647523,7.02644930019836,0.16877038350082,7.57652591697842,4.94186221282402,5.40792713127673,4.83191776576411,5.12983937774091,2.45793568665984,5.62541662207078,2.02906410969844,4.97159873167006,7.49436520479891,0.23204671335011,0.336854639125465,2.48277085549664,1.699107384624,3.95720886090243,4.05205934999653,5.22586873150747,4.32750773458721,1.19269917799206,4.36628024432506,4.29056447886063,5.32504455445455,2.43060643092981,1.04977015181638,6.40949107267114,2.35306917376701
TCGA-A2-A0ET,0.0395595572557058,9.08424900256457,0.362329610171569,7.14443289971874,5.71212801172193,4.18866202940932,3.63829399070981,4.97494682601051,3.76393204064342,2.55045744792584,0.0241778143011653,4.70981996797692,5.43168981150269,0.346077534535597,0.049909522443058,1.91949263961464,0.811306611469781,4.20306800242128,4.29040228551749,5.34044833007193,5.25955873754921,1.56496342060955,2.09740853548056,5.06680390108674,6.19256899631502,3.84801694384693,0.731096329614531,7.49830432924065,3.04013845618006
TCGA-A8-A06R,0.134878054343112,6.52264116010988,0.920140827684878,5.36058902165292,7.01327241902191,3.79415589787641,4.92447999235902,3.81898345610324,2.77521914463771,3.20909459685109,2.91119302303245,5.29199025808787,6.77678568468417,1.58693283785313,1.08766650146867,2.80461119411218,5.56281938685259,3.2185177085449,5.05387593600287,4.04125174493025,4.77785627184115,1.28392177230762,3.93127647364754,4.62376153471654,3.47283865461025,2.95430799858281,0.661567199527146,9.30443916993214,2.68043688716979
TCGA-B6-A0IG,0.232415170775402,6.23255907390225,0.312781327903362,5.92072918744814,4.76118951608816,4.30761795755839,2.63198895717541,4.3318198480226,2.72257531541019,4.43073353620459,2.89528323014061,4.49742714719468,6.15650381152327,0.830498727993734,0.528871328238121,1.48866924465893,0.952557222682185,3.0866309301823,4.13892093088876,4.83135031813718,5.05212892650726,0.956131016219584,4.8451437625783,5.80063333253402,7.34447967336452,3.14035330883444,0.252415659032651,5.87091456520772,0.864730922314751
TCGA-A8-A075,0.148478615931968,6.33089895632577,0.382501257189115,6.8669512385693,6.61010353984604,4.25389096605002,2.63862994975998,4.15831278813551,2.30667054689641,3.54215897717789,3.71048136029625,5.11739999133743,5.04733334677762,0.858538066336536,0.797428082152313,2.46740991715289,0.643302088484766,3.82052618881362,4.1484704809,4.40674073372057,4.52364976960433,1.35603109527222,4.93103530609367,4.49631533701531,3.99615370179395,3.37704043420944,1.55075294086895,6.64654431013218,0.597793350242805
TCGA-C8-A135,0.415326009436968,5.29632157472632,0.940880872233434,7.49264555941763,5.29900282050038,3.12743518442737,4.25989764498127,2.6253873967157,2.91343518228274,2.76472830907931,0.567253374550151,4.3684890006451,6.27660088133216,1.68585046764525,0.413702388782177,2.70843005637228,0.461109415065255,2.91353092345758,4.60973132673898,5.21888188948572,4.40221054052014,0.677440587921541,3.64158070883995,3.35914161186983,3.77389086109264,2.7001067500954,0.281549893366642,7.37214505616374,1.32699746456576
TCGA-OL-A5RX,0.686164326061359,8.00678497472906,0.437547355287785,6.93345107097534,5.07993272309099,4.62155960805541,3.02690626611217,6.17965833777631,2.58522697056966,4.59745966340406,0.593114696484615,6.92018490343026,5.90804429022489,1.37200484431215,1.05325038470225,1.33319471633589,3.62060986871711,3.89236188026464,5.36038534788483,4.50583377958671,4.94805880064935,3.67062509364986,5.08398345118731,4.65217096050559,5.08990063237077,3.48738344303651,0.492006975593955,8.14777832678369,1.65992455840238
TCGA-AC-A2FE,0.891652487933974,7.0267148670139,0.305328532039964,6.37337850724152,4.81509889193434,4.56732031319027,2.73617189360605,6.14744509967931,2.50926512240761,3.81149158159487,2.09247808720038,5.93764806067886,6.00825828996051,1.36636418294565,0.72106636873105,1.66092861686876,2.31048554625018,3.46872666711556,4.89575823934716,4.63996721781666,4.88112130417305,2.18116617426998,3.75738600882025,5.24839441548859,4.26779045695927,3.19759808438039,2.09811632546681,6.7604445202554,0.954196310386875
